 numeroa | andar | capacidade 
----------------------------
 311     | 3     | 33         
 312     | 2     | 27         
 313     | 4     | 18         
 314     | 1     | 57         
 315     | 5     | 37         
 316     | 6     | 23         
 317     | 6     | 42         
 318     | 7     | 25         
 319     | 9     | 32         
 320     | 9     | 32         
 321     | 9     | 32         
 322     | 9     | 32         
 323     | 9     | 32         
 324     | 9     | 32         
 325     | 9     | 32         
 326     | 9     | 32         
 327     | 9     | 32         
 328     | 9     | 32         
 329     | 9     | 32         
 330     | 9     | 32         
 331     | 9     | 32         
 332     | 9     | 32         
 333     | 9     | 32         
 334     | 9     | 32         
 335     | 9     | 32         

(25 rows)

